primaryTitle,startYear,averageRating,numVotes,primaryTitle_clean,title,date_added,release_year,title_clean
Forbidden Games: The Justin Fashanu Story,2017,6.6,403,forbidden games: the justin fashanu story,Forbidden Games: The Justin Fashanu Story,2017-12-01,2017,forbidden games: the justin fashanu story
Saath Saath,1982,7.4,402,saath saath,Saath Saath,2019-12-31,1982,saath saath
Growing Up Coy,2016,6.1,402,growing up coy,Growing Up Coy,2017-01-06,2016,growing up coy
The Price of Success,2017,5.8,402,the price of success,The Price of Success,2018-04-30,2017,the price of success
Just You,2013,7.4,401,just you,Just You,2016-11-01,2013,just you
Heavy Rescue: 401,2016,7.0,401,heavy rescue: 401,Heavy Rescue: 401,2018-06-22,2018,heavy rescue: 401
Counterfeiting in Suburbia,2018,4.9,401,counterfeiting in suburbia,Counterfeiting in Suburbia,2018-07-01,2018,counterfeiting in suburbia
Alien TV,2019,6.5,401,alien tv,Alien TV,2021-03-19,2021,alien tv
Mumbai Delhi Mumbai,2014,5.7,400,mumbai delhi mumbai,Mumbai Delhi Mumbai,2020-07-05,2014,mumbai delhi mumbai
Norm of the North: Family Vacation,2020,2.9,400,norm of the north: family vacation,Norm of the North: Family Vacation,2020-05-25,2020,norm of the north: family vacation
From Stress to Happiness,2020,6.3,400,from stress to happiness,From Stress to Happiness,2021-06-03,2020,from stress to happiness
Abhinetri,2016,6.0,400,abhinetri,Abhinetri,2018-05-01,2016,abhinetri
King of Peking,2017,6.5,399,king of peking,King of Peking,2018-07-02,2018,king of peking
My Amanda,2021,5.8,399,my amanda,My Amanda,2021-07-15,2021,my amanda
Wild Alaska,2015,7.8,399,wild alaska,Wild Alaska,2017-03-31,2015,wild alaska
Silvana Sin Lana,2016,7.2,399,silvana sin lana,Silvana Sin Lana,2018-11-17,2016,silvana sin lana
Enemigo Íntimo,2018,7.0,397,enemigo íntimo,Enemigo íntimo,2018-08-08,2018,enemigo íntimo
Everything About Her,2016,7.2,397,everything about her,Everything About Her,2019-03-14,2016,everything about her
Empire Games,2018,5.8,396,empire games,Empire Games,2018-10-05,2018,empire games
Staged Killer,2019,3.7,396,staged killer,Staged Killer,2019-06-28,2019,staged killer
Second 20s,2015,7.5,396,second 20s,Second 20s,2019-10-16,2015,second 20s
Everyday Miracles,2015,5.9,396,everyday miracles,Everyday Miracles,2017-08-01,2014,everyday miracles
Amy Tan: Unintended Memoir,2021,7.8,395,amy tan: unintended memoir,Amy Tan: Unintended Memoir,2021-05-18,2021,amy tan: unintended memoir
The Delivery Boy,1931,6.0,395,the delivery boy,The Delivery Boy,2020-05-14,2018,the delivery boy
Saudi Arabia Uncovered,2016,7.3,395,saudi arabia uncovered,Saudi Arabia Uncovered,2016-09-01,2016,saudi arabia uncovered
Abby Sen,2015,5.9,394,abby sen,Abby Sen,2017-05-01,2015,abby sen
Go! Go! Cory Carson,2020,7.8,394,go! go! cory carson,Go! Go! Cory Carson,2021-08-18,2021,go! go! cory carson
Last Flight to Abuja,2012,4.4,393,last flight to abuja,Last Flight to Abuja,2020-06-16,2012,last flight to abuja
Birders,2019,6.4,392,birders,Birders,2019-09-25,2019,birders
Cross: Rise of the Villains,2019,2.0,392,cross: rise of the villains,Cross: Rise of the Villains,2021-04-02,2019,cross: rise of the villains
My Heroes Were Cowboys,2021,6.8,392,my heroes were cowboys,My Heroes Were Cowboys,2021-09-16,2021,my heroes were cowboys
Todd Glass: Act Happy,2018,5.2,392,todd glass: act happy,Todd Glass: Act Happy,2018-01-23,2018,todd glass: act happy
Tukaram,2012,8.2,391,tukaram,Tukaram,2018-02-15,2012,tukaram
Ahaan,2019,7.0,391,ahaan,Ahaan,2021-05-15,2021,ahaan
The Lady in Dignity,2017,7.4,391,the lady in dignity,The Lady in Dignity,2018-01-30,2017,the lady in dignity
Michael Lost and Found,2017,5.2,390,michael lost and found,Michael Lost and Found,2017-06-01,2017,michael lost and found
Anjaan: Special Crimes Unit,2018,7.5,390,anjaan: special crimes unit,Anjaan: Special Crimes Unit,2018-05-01,2018,anjaan: special crimes unit
Isoken,2017,6.4,390,isoken,Isoken,2019-12-15,2017,isoken
Stretch Armstrong & the Flex Fighters,2017,6.1,390,stretch armstrong & the flex fighters,Stretch Armstrong & the Flex Fighters,2018-09-07,2018,stretch armstrong & the flex fighters
Sinister Circle,2016,4.6,389,sinister circle,Sinister Circle,2019-10-01,2017,sinister circle
The Surrounding Game,2018,6.6,387,the surrounding game,The Surrounding Game,2018-08-30,2018,the surrounding game
Al Acecho,2019,5.0,387,al acecho,Al acecho,2021-01-12,2019,al acecho
Restless Creature: Wendy Whelan,2016,7.2,387,restless creature: wendy whelan,Restless Creature: Wendy Whelan,2017-09-26,2016,restless creature: wendy whelan
Ghost of the Mountains,2017,7.0,385,ghost of the mountains,Ghost of the Mountains,2017-09-13,2017,ghost of the mountains
Democrats,2014,7.4,385,democrats,Democrats,2016-04-25,2014,democrats
Premachi Goshta,2013,7.3,385,premachi goshta,Premachi Goshta,2018-02-15,2013,premachi goshta
Bwakaw,2012,7.2,385,bwakaw,Bwakaw,2020-12-16,2012,bwakaw
Buried by the Bernards,2021,7.2,383,buried by the bernards,Buried by the Bernards,2021-02-12,2021,buried by the bernards
Winter of Our Dreams,1981,6.3,383,winter of our dreams,Winter of Our Dreams,2016-11-01,1981,winter of our dreams
Asura Guru,2020,3.3,383,asura guru,Asura Guru,2020-06-13,2020,asura guru
Casablancas: The Man Who Loved Women,2016,6.2,382,casablancas: the man who loved women,Casablancas: The Man Who Loved Women,2017-01-13,2016,casablancas: the man who loved women
Born in Syria,2016,7.7,382,born in syria,Born in Syria,2019-05-17,2016,born in syria
Tijuana,2019,6.9,382,tijuana,Tijuana,2019-04-05,2019,tijuana
Time Please,2013,7.0,381,time please,Time Please,2018-01-01,2013,time please
Black Crows,2017,5.6,381,black crows,Black Crows,2018-04-30,2017,black crows
Malena Pichot: Estupidez compleja,2018,5.8,378,malena pichot: estupidez compleja,Malena Pichot: Estupidez compleja,2018-03-02,2018,malena pichot: estupidez compleja
ID-0,2017,6.1,378,id-0,ID-0,2017-10-06,2017,id-0
Little Dragon Maiden,1983,5.9,378,little dragon maiden,Little Dragon Maiden,2018-08-01,1983,little dragon maiden
Lalbaug Parel: Zali Mumbai Sonyachi,2010,7.3,378,lalbaug parel: zali mumbai sonyachi,Lalbaug Parel: Zali Mumbai Sonyachi,2018-03-15,2010,lalbaug parel: zali mumbai sonyachi
Dear Dracula,2012,5.3,377,dear dracula,Dear Dracula,2016-02-18,2012,dear dracula
VeggieTales in the House,2014,4.2,375,veggietales in the house,VeggieTales in the House,2016-09-23,2016,veggietales in the house
Faraar,1975,6.7,375,faraar,Faraar,2018-12-01,2015,faraar
Barrio Universitario,2013,3.5,375,barrio universitario,Barrio Universitario,2018-08-19,2013,barrio universitario
El Chema,2016,6.9,375,el chema,El Chema,2021-02-11,2016,el chema
The Legend of White Snake,2019,7.2,374,the legend of white snake,The Legend of White Snake,2019-07-05,2019,the legend of white snake
Watchman,2019,5.4,374,watchman,Watchman,2019-09-04,2019,watchman
Poshter Girl,2016,6.7,374,poshter girl,Poshter Girl,2020-09-10,2016,poshter girl
#Roxy,2018,4.9,373,#roxy,#Roxy,2019-04-10,2018,#roxy
Fall in Love with Me,2014,7.1,373,fall in love with me,Fall in Love with Me,2016-10-01,2014,fall in love with me
"Lady, La Vendedora de Rosas",2015,7.9,372,"lady, la vendedora de rosas","Lady, la vendedora de rosas",2018-04-01,2015,"lady, la vendedora de rosas"
U-Turn,2021,7.6,372,u-turn,U-Turn,2020-12-01,2020,u-turn
Beauty and the Bestie,2015,4.7,370,beauty and the bestie,Beauty and the Bestie,2019-02-27,2015,beauty and the bestie
"Big Dreams, Small Spaces",2014,8.2,369,"big dreams, small spaces","Big Dreams, Small Spaces",2019-07-26,2017,"big dreams, small spaces"
Julie's Greenroom,2017,8.1,369,julie's greenroom,Julie's Greenroom,2017-03-17,2017,julie's greenroom
Shattered Memories,2018,4.2,368,shattered memories,Shattered Memories,2020-10-23,2018,shattered memories
Pretty Man,2013,7.7,367,pretty man,Pretty Man,2018-08-08,2018,pretty man
44 Cats,2018,5.8,367,44 cats,44 Cats,2021-08-01,2020,44 cats
Professor,1962,6.8,367,professor,Professor,2017-07-01,1962,professor
Breaking Free,1995,6.5,367,breaking free,Breaking Free,2017-12-15,2015,breaking free
Secrets of Her Majesty's Secret Service,2014,6.6,367,secrets of her majesty's secret service,Secrets of Her Majesty's Secret Service,2017-02-22,2014,secrets of her majesty's secret service
Bankrolled,2021,4.2,366,bankrolled,Bankrolled,2021-07-23,2021,bankrolled
Friday Night Tykes,2014,6.9,365,friday night tykes,Friday Night Tykes,2018-01-17,2017,friday night tykes
Numbered,2012,7.1,364,numbered,Numbered,2017-12-31,2012,numbered
Mommy Issues,2019,7.7,364,mommy issues,Mommy Issues,2021-06-30,2021,mommy issues
The Chord,2010,5.8,364,the chord,The Chord,2019-06-20,2010,the chord
Skin Wars: Fresh Paint,2016,6.2,363,skin wars: fresh paint,Skin Wars: Fresh Paint,2018-12-15,2016,skin wars: fresh paint
A Home with a View,2019,6.0,363,a home with a view,A Home with A View,2019-04-30,2019,a home with a view
"Vendetta: Truth, Lies and the Mafia",2021,6.7,363,"vendetta: truth, lies and the mafia","Vendetta: Truth, Lies and The Mafia",2021-09-24,2021,"vendetta: truth, lies and the mafia"
Secrets of Underground London,2014,6.9,363,secrets of underground london,Secrets of Underground London,2017-04-22,2014,secrets of underground london
Maddman: The Steve Madden Story,2017,6.6,362,maddman: the steve madden story,Maddman: The Steve Madden Story,2018-01-01,2017,maddman: the steve madden story
Sisterakas,2012,5.2,362,sisterakas,Sisterakas,2019-03-07,2012,sisterakas
Bad Guys: Vile City,2017,7.4,361,bad guys: vile city,Bad Guys: Vile City,2018-03-08,2018,bad guys: vile city
The Gospel of Matthew,2016,7.7,361,the gospel of matthew,The Gospel of Matthew,2018-10-19,2014,the gospel of matthew
The Breakup Playlist,2015,6.4,360,the breakup playlist,The Breakup Playlist,2019-02-27,2015,the breakup playlist
Dolphin Kick,2019,4.5,359,dolphin kick,Dolphin Kick,2019-06-05,2019,dolphin kick
Bookmarks,2020,6.0,359,bookmarks,Bookmarks,2020-09-01,2020,bookmarks
The NSU-Complex,2016,6.3,359,the nsu-complex,The NSU-Complex,2016-12-28,2016,the nsu-complex
Worn Stories,2021,6.7,358,worn stories,Worn Stories,2021-04-01,2021,worn stories
Noblemen,2018,5.7,357,noblemen,Noblemen,2019-10-05,2019,noblemen
Archibald's Next Big Thing,2019,7.5,357,archibald's next big thing,Archibald's Next Big Thing,2020-03-20,2020,archibald's next big thing
A Way Back Home,2013,5.9,357,a way back home,A Way Back Home,2021-06-28,2020,a way back home
A Haunting at Silver Falls: The Return,2019,3.2,356,a haunting at silver falls: the return,A Haunting at Silver Falls: The Return,2019-09-17,2019,a haunting at silver falls: the return
Ainori Love Wagon: Asian Journey,2017,7.0,356,ainori love wagon: asian journey,Ainori Love Wagon: Asian Journey,2019-03-28,2018,ainori love wagon: asian journey
ThirTEEN Terrors,2014,6.7,356,thirteen terrors,ThirTEEN Terrors,2019-03-01,2014,thirteen terrors
Geez & Ann,2021,5.2,355,geez & ann,Geez & Ann,2021-02-25,2021,geez & ann
Cyborg 009 vs Devilman,2015,6.0,355,cyborg 009 vs devilman,Cyborg 009 VS Devilman,2016-04-01,2015,cyborg 009 vs devilman
The Panti Sisters,2019,5.7,354,the panti sisters,The Panti Sisters,2020-12-10,2019,the panti sisters
Felix Lobrecht: Hype,2020,5.9,354,felix lobrecht: hype,Felix Lobrecht: Hype,2020-11-03,2020,felix lobrecht: hype
My Love: Six Stories of True Love,2021,7.4,354,my love: six stories of true love,My Love: Six Stories of True Love,2021-04-13,2021,my love: six stories of true love
Jindua,2017,6.3,353,jindua,Jindua,2019-12-01,2017,jindua
Revenge of the Pontianak,2019,5.3,353,revenge of the pontianak,Revenge of the Pontianak,2019-10-24,2019,revenge of the pontianak
Don't Crack Under Pressure,2015,6.5,353,don't crack under pressure,Don't Crack Under Pressure,2020-06-12,2015,don't crack under pressure
Holiday Home Makeover with Mr. Christmas,2020,5.9,353,holiday home makeover with mr. christmas,Holiday Home Makeover with Mr. Christmas,2020-11-18,2020,holiday home makeover with mr. christmas
Giving Voice,2020,7.0,352,giving voice,Giving Voice,2020-12-11,2020,giving voice
Moshe Kasher: Live in Oakland,2012,6.6,352,moshe kasher: live in oakland,Moshe Kasher: Live in Oakland,2019-01-01,2012,moshe kasher: live in oakland
Story of Kale: When Someone's in Love,2020,6.3,352,story of kale: when someone's in love,Story of Kale: When Someone's in Love,2021-04-08,2020,story of kale: when someone's in love
Phamous,2018,3.9,351,phamous,Phamous,2019-12-31,2018,phamous
Mike Epps: Only One Mike,2019,4.9,351,mike epps: only one mike,Mike Epps: Only One Mike,2019-06-25,2019,mike epps: only one mike
Kaakan,2015,8.1,351,kaakan,Kaakan,2018-03-01,2015,kaakan
Nila,2023,7.5,351,nila,Nila,2017-03-01,2016,nila
Benji's Very Own Christmas Story,1978,5.3,351,benji's very own christmas story,Benji's Very Own Christmas Story,2018-10-03,1978,benji's very own christmas story
Water & Power: A California Heist,2017,7.3,350,water & power: a california heist,Water & Power: A California Heist,2018-02-01,2017,water & power: a california heist
The Spooky Tale of Captain Underpants Hack-a-Ween,2019,5.8,349,the spooky tale of captain underpants hack-a-ween,The Spooky Tale of Captain Underpants Hack-a-ween,2019-10-08,2019,the spooky tale of captain underpants hack-a-ween
Love Station,2011,5.6,348,love station,Love Station,2019-04-25,2011,love station
KL Zombi,2013,4.5,348,kl zombi,KL Zombi,2017-08-21,2013,kl zombi
A Tale of Two Kitchens,2019,6.3,348,a tale of two kitchens,A Tale of Two Kitchens,2019-05-22,2019,a tale of two kitchens
Kisaan,2009,5.5,345,kisaan,Kisaan,2018-10-01,2009,kisaan
An Upper Egyptian,2014,3.2,345,an upper egyptian,An Upper Egyptian,2019-06-20,2014,an upper egyptian
Border Patrol,1943,6.2,345,border patrol,Border Patrol,2019-10-02,2016,border patrol
They've Gotta Have Us,2018,7.9,345,they've gotta have us,They've Gotta Have Us,2021-06-19,2018,they've gotta have us
Refresh Man,2016,7.6,345,refresh man,Refresh Man,2016-12-01,2016,refresh man
Under Arrest,1993,7.3,344,under arrest,Under Arrest,2018-02-01,2016,under arrest
My Ex-Ex,2015,4.6,344,my ex-ex,My Ex-Ex,2017-08-15,2015,my ex-ex
Here to Heart,2018,7.4,344,here to heart,Here to Heart,2018-10-23,2018,here to heart
Who's the Boss,2022,7.9,343,who's the boss,Who's the Boss,2021-03-19,2020,who's the boss
Across Grace Alley,2013,6.0,342,across grace alley,Across Grace Alley,2016-12-01,2013,across grace alley
May We Chat,2014,4.9,342,may we chat,May We Chat,2018-08-26,2014,may we chat
Aditi Mittal: Things They Wouldn't Let Me Say,2017,4.5,342,aditi mittal: things they wouldn't let me say,Aditi Mittal: Things They Wouldn't Let Me Say,2017-07-18,2017,aditi mittal: things they wouldn't let me say
Husbands in Goa,2012,4.0,342,husbands in goa,Husbands in Goa,2018-11-01,2012,husbands in goa
Anaamika,2014,5.5,341,anaamika,Anaamika,2020-09-17,2014,anaamika
Bakugan: Battle Planet,2018,4.5,340,bakugan: battle planet,Bakugan: Battle Planet,2020-11-06,2018,bakugan: battle planet
Because We're Heading Out,2016,4.1,340,because we're heading out,Because We're Heading Out,2019-04-18,2016,because we're heading out
What's Up?,2006,3.0,340,what's up?,What's Up?,2020-06-02,2006,what's up?
The Wedding Party 2: Destination Dubai,2017,4.7,339,the wedding party 2: destination dubai,The Wedding Party 2: Destination Dubai,2019-09-21,2017,the wedding party 2: destination dubai
Nailed It! Mexico,2019,6.2,339,nailed it! mexico,Nailed It! Mexico,2021-01-05,2021,nailed it! mexico
The Tigers of Scotland,2017,6.6,339,the tigers of scotland,The Tigers of Scotland,2018-11-01,2017,the tigers of scotland
Nasha Natasha,2020,6.5,338,nasha natasha,Nasha Natasha,2020-08-06,2020,nasha natasha
Shorgul,2016,5.7,338,shorgul,Shorgul,2018-10-30,2016,shorgul
You're My Boss,2015,6.3,337,you're my boss,You're My Boss,2020-09-04,2015,you're my boss
Storage Wars: Northern Treasures,2017,5.2,336,storage wars: northern treasures,Storage Wars: Northern Treasures,2019-07-22,2015,storage wars: northern treasures
Couples Counseling,2016,5.6,336,couples counseling,Couples Counseling,2017-04-01,2016,couples counseling
Ordinary Heroes,1999,7.1,336,ordinary heroes,Ordinary Heroes,2018-10-11,2018,ordinary heroes
American Factory: A Conversation with the Obamas,2019,5.2,336,american factory: a conversation with the obamas,American Factory: A Conversation with the Obamas,2019-09-05,2019,american factory: a conversation with the obamas
Being AP,2015,6.5,335,being ap,Being AP,2016-08-15,2015,being ap
Mighty Little Bheem,2019,6.6,335,mighty little bheem,Mighty Little Bheem,2020-09-25,2020,mighty little bheem
A Family Reunion Christmas,2019,5.8,334,a family reunion christmas,A Family Reunion Christmas,2019-12-09,2019,a family reunion christmas
Dueños del Paraíso,2015,6.8,334,dueños del paraíso,Dueños del paraíso,2017-02-25,2015,dueños del paraíso
The Day I Lost My Shadow,2018,6.1,334,the day i lost my shadow,The Day I lost My Shadow,2021-05-27,2018,the day i lost my shadow
Secrets of Henry VIII's Palace: Hampton Court,2013,7.3,334,secrets of henry viii's palace: hampton court,Secrets of Henry VIII's Palace: Hampton Court,2017-02-22,2013,secrets of henry viii's palace: hampton court
The First Line,2014,4.7,334,the first line,The First Line,2016-09-20,2014,the first line
Gang of the Caribbean,2016,5.2,334,gang of the caribbean,Gang of the Caribbean,2020-01-31,2016,gang of the caribbean
Mike Epps: Don't Take It Personal,2015,4.5,333,mike epps: don't take it personal,Mike Epps: Don't Take It Personal,2015-12-18,2015,mike epps: don't take it personal
